canonical_smiles,pIC50,activite,tsne1,tsne2,pca1,pca2
C#CCOc1cccc(Nc2ncc(F)c(Nc3cccc(C(=O)C=C(C)C)c3)n2)c1,5.978810700930062,intermediaire,5.9947333,-43.83382,-0.1621246636539456,-0.7238687018649261
C#CCn1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21,8.13282724882135,actif,55.04498,-77.57771,-0.153468217272887,-2.9698487832013156
C#Cc1cc(C(=O)/N=c2\[nH]c3ccccc3n2[C@H]2CC[C@@H](O)CC2)cc(-c2cnn(C)c2)n1,5.826988650492649,intermediaire,-110.69342,-0.7414118,-1.93754137470013,-0.9868966293253143
C#Cc1cc(C=O)cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,6.959397659885927,actif,41.21592,5.0819564,2.2855019554074367,0.9639571819348528
C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F,8.397940008672037,actif,37.197254,1.8284389,2.4990382918526537,1.6030301140345122
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1F,7.540607512240769,actif,45.318363,4.9972825,2.9589722402450525,1.3057777131627488
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1O,7.0,actif,46.356182,3.2142587,2.80923767084087,1.0632033911313945
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCCC(=O)NO)cc23)ccc1F,7.0,actif,45.318558,4.997194,2.9589722402450525,1.3057777131627488
C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCCCCCCC(=O)NO)cc23)ccc1F,7.0,actif,45.15298,4.973713,2.727467928091958,1.356261199627674
C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)cc(OC(=O)C=C)c1,5.877784121727173,intermediaire,41.111763,6.207109,2.373406371521249,0.27329917532471326
C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)ccc1C=O,7.31695296176115,actif,41.42993,4.6807065,2.4576220084028986,1.2965409191547586
C#Cc1cc(O)cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,5.0,intermediaire,41.17654,5.0524836,2.3026306321586323,1.102082510823076
